Designation,Source,Link to source,Meta source,Group,Source type,Technology,Date,Year,Physical qubits,Average two-qubit gate error rate,NOTE: Hover over the cells marked with a black triangle for context and quotes,,,"THIS DATASET IS LICENSED UNDER CC BY 4.0. 
PLEASE CITE AS Jaime Sevilla and C. Jess Riedel. ""Forecasting timelines of quantum computing"", 2020"
Aspen-7,"""Proveedores de hardware de Amazon Braket""",https://aws.amazon.com/es/braket/hardware-providers/#Rigetti,Quantum Computing Report,Rigetti,Hardware provider information sheet,Superconductor,24/10/2019,2019,32,4.80E-02,,,,
Yorktown - ibmqx2,(IBM Quantum Computing Experience),https://quantum-computing.ibm.com/,IBM Quantum Experience Available Systems,IBM,Cloud quantum computing service,Superconductor,15/03/2019,2019,5,3.96E-02,,,,
Melbourne,(IBM Quantum Computing Experience),https://quantum-computing.ibm.com/,IBM Quantum Experience Available Systems,IBM,Cloud quantum computing service,Superconductor,21/12/2018,2018,15,5.45E-02,,,,
Vigo,(IBM Quantum Computing Experience),https://quantum-computing.ibm.com/,IBM Quantum Experience Available Systems,IBM,Cloud quantum computing service,Superconductor,02/08/2019,2019,5,9.66E-03,,,,
Ourense,(IBM Quantum Computing Experience),https://quantum-computing.ibm.com/,IBM Quantum Experience Available Systems,IBM,Cloud quantum computing service,Superconductor,02/08/2019,2019,5,9.09E-03,,,,
London,(IBM Quantum Computing Experience),https://quantum-computing.ibm.com/,IBM Quantum Experience Available Systems,IBM,Cloud quantum computing service,Superconductor,27/09/2019,2019,5,1.08E-02,,,,
Burlington,(IBM Quantum Computing Experience),https://quantum-computing.ibm.com/,IBM Quantum Experience Available Systems,IBM,Cloud quantum computing service,Superconductor,27/09/2019,2019,5,1.47E-02,,,,
Essex,(IBM Quantum Computing Experience),https://quantum-computing.ibm.com/,IBM Quantum Experience Available Systems,IBM,Cloud quantum computing service,Superconductor,25/10/2019,2019,5,1.13E-02,,,,
IBMQ Armonk,(IBM Quantum Computing Experience),https://quantum-computing.ibm.com/,IBM Quantum Experience Available Systems,IBM,Cloud quantum computing service,Superconductor,22/11/2019,2019,1,NA,,,,
IBMQ Bogota,(IBM Quantum Computing Experience),https://quantum-computing.ibm.com/,IBM Quantum Experience Available Systems,IBM,Cloud quantum computing service,Superconductor,03/07/2020,2020,5,1.27E-02,,,,
IBMQ Rome,(IBM Quantum Computing Experience),https://quantum-computing.ibm.com/,IBM Quantum Experience Available Systems,IBM,Cloud quantum computing service,Superconductor,10/04/2020,2020,5,1.02E-02,,,,
Valencia - IBMQX5,(IBM Quantum Computing Experience),https://quantum-computing.ibm.com/docs/cloud/backends/systems,IBM Quantum Experience Available Systems,IBM,Cloud quantum computing service,Superconductor,02/08/2019,2019,5,9.26E-03,,,,
Acorn,(pyQuil documentation),http://docs.rigetti.com/en/1.9/qpu.html,,Rigetti,Industry website,Superconductor,[UNKNOWN],2017,19,1.25E-01,,,,
Agave,(pyQuil documentation),http://docs.rigetti.com/en/1.9/qpu.html#id1,,Rigetti,Industry website,Superconductor,[UNKNOWN],2018,8,1.30E-01,,,,
Rochester,[UNKNOWN],https://quantum-computing.ibm.com/docs/cloud/backends/systems,IBM Quantum Experience Available Systems,IBM,[UNKNOWN],Superconductor,[UNKNOWN],[UNKNOWN],53,[UNKNOWN],,,,
Paris,[UNKNOWN],[UNKNOWN],IBM Quantum Experience Available Systems,IBM,[UNKNOWN],Superconductor,[UNKNOWN],[UNKNOWN],27,[UNKNOWN],,,,
Almaden - Penguin 4,[UNKNOWN],https://quantum-computing.ibm.com/docs/cloud/backends/systems,IBM Quantum Experience Available Systems,IBM,[UNKNOWN],Superconductor,[UNKNOWN],[UNKNOWN],20,[UNKNOWN],,,,
Boeblingen - Penguin 4,[UNKNOWN],https://quantum-computing.ibm.com/docs/cloud/backends/systems,IBM Quantum Experience Available Systems,IBM,[UNKNOWN],Superconductor,[UNKNOWN],[UNKNOWN],20,[UNKNOWN],,,,
Singapore - Penguin 4,[UNKNOWN],https://quantum-computing.ibm.com/docs/cloud/backends/systems,IBM Quantum Experience Available Systems,IBM,[UNKNOWN],Superconductor,[UNKNOWN],[UNKNOWN],20,[UNKNOWN],,,,
Johannesburg - Penguin 3,[UNKNOWN],https://quantum-computing.ibm.com/docs/cloud/backends/systems,IBM Quantum Experience Available Systems,IBM,[UNKNOWN],Superconductor,[UNKNOWN],[UNKNOWN],20,[UNKNOWN],,,,
Athens,[UNKNOWN],https://quantum-computing.ibm.com/docs/cloud/backends/systems,IBM Quantum Experience Available Systems,,[UNKNOWN],Superconductor,[UNKNOWN],[UNKNOWN],5,[UNKNOWN],,,,
Austin - Penguin 1,[NEED BETTER SOURCE],https://twitter.com/jaygambetta/status/1181248630784741376/photo/1,,IBM,[NEED BETTER SOURCE],Superconductor,[UNKNOWN],2018,20,[UNKNOWN],,,,
IBM Q 50 Prototype,[NEED BETTER SOURCE],[NEED BETTER SOURCE],,IBM,[NEED BETTER SOURCE],Superconductor,[UNKNOWN],2018,50,[UNKNOWN],,,,
ibmqx4,[NEED BETTER SOURCE],[NEED BETTER SOURCE],,IBM,[NEED BETTER SOURCE],Superconductor,,,5,[UNKNOWN],,,,
ibmqx5,[NEED BETTER SOURCE],https://www.nature.com/articles/s41534-018-0095-x,,IBM,[NEED BETTER SOURCE],Superconductor,,,16,[UNKNOWN],,,,
Rüschlikon - IBM QX5,[UNRELIABLE SOURCE],https://arxiv.org/pdf/1808.05661.pdf,,IBM,[NEED BETTER SOURCE],Superconductor,[UNKNOWN],2017,16,5.00E-02,,,,
NA,10-qubit entanglement and parallel logic operations with a superconducting circuit,https://arxiv.org/abs/1703.10302,,USTC,Journal article,Superconductor,30/03/2017,2017,10,3.32E-01,,,,
Tangle Lake,2018 CES: Intel Advances Quantum and Neuromorphic Computing Research,https://newsroom.intel.com/news/intel-advances-quantum-neuromorphic-computing-research/#gs.km6yka,,Intel,Press release,Superconductor,08/01/2018,2018,49,[UNKNOWN],,,,
Bristlecone,"A Preview of Bristlecone, Google’s New Quantum Processor",https://ai.googleblog.com/2018/03/a-preview-of-bristlecone-googles-new.html,,Google,Industry blog,Superconductor,05/03/2018,2018,72,6.00E-03,,,,
NA,A two-qubit logic gate in silicon,https://arxiv.org/abs/1411.5760,,UNSW,Journal article,Silicon,21/11/2014,2014,2,9.00E-03,,,,
IonQ 11 Qubit,Benchmarking an 11-qubit quantum computer,https://www.nature.com/articles/s41467-019-13534-2,Wikipedia Timeline of Quantum Computing,IonQ,Journal article,Trapped ion,10/12/2018,2018,11,2.50E-02,,,,
NA,Complete universal quantum gate set approaching fault-tolerant thresholds with superconducting qubits,https://arxiv.org/abs/1202.5344,Quantum Computing: Progress and prospects,IBM,Journal article,Superconductor,23/02/2012,2012,2,5.00E-02,,,,
Tenerife - IBM QX4,Cramming More Power Into a Quantum Device,https://www.ibm.com/blogs/research/2019/03/power-quantum-device/,,IBM,Industry blog,Superconductor,[UNKNOWN],2017,5,4.02E-02,,,,
Tokyo - Penguin 2,Cramming More Power Into a Quantum Device,https://www.ibm.com/blogs/research/2019/03/power-quantum-device/,,IBM,Industry blog,Superconductor,[UNKNOWN],2017,20,2.84E-02,,,,
IBM Q System One,Cramming More Power Into a Quantum Device,https://www.ibm.com/blogs/research/2019/03/power-quantum-device/,,IBM,Industry blog,Superconductor,08/01/2019,2019,20,1.69E-02,,,,
Poughkeepsie - Penguin 3,Cramming More Power Into a Quantum Device,https://www.ibm.com/blogs/research/2019/03/power-quantum-device/,,IBM,Industry blog,Superconductor,[UNKNOWN],2019,19,2.25E-02,,,,
NA,Demonstration of a Parametrically-Activated Entangling Gate Protected from Flux Noise,https://arxiv.org/abs/1901.08035,,Rigetti,Journal article,Superconductor,23/01/2019,2019,2,8.00E-03,,,,
NA,Demonstration of a small programmable quantum computer with atomic qubits,https://arxiv.org/abs/1603.04512,Quantum Computing: Progress and prospects,"Joint Quantum Institute, Department of Physics, and Joint Center for Quantum Information and Computer Science, University of Maryland",Journal article,Trapped ion,15/03/2016,2016,5,2.00E-02,,,,
Honeywell 4 qubit,Demonstration of the QCCD trapped-ion quantum computer architecture,https://arxiv.org/abs/2003.01293,Quantum Computing Report,Honeywell,Preprint,Trapped ion,03/03/2020,2020,4,8.00E-03,,,,
NA,Demonstration of Two-Qubit Algorithms with a Superconducting Quantum Processor,https://arxiv.org/abs/0903.2030,Quantum Computing: Progress and prospects,Yale Univ. and others,Journal article,Superconductor,11/03/2009,2009,2,2.00E-01,,,,
NA,Digitized adiabatic quantum computing with a superconducting circuit,https://arxiv.org/abs/1511.03316,,Google,Journal article,Superconductor,08/06/2016,2016,9,3.60E-01,,,,
NA,"Experimental demonstration of a robust, high-fidelity geometric two ion-qubit phase gate",https://www.nature.com/articles/nature01492,Quantum Computing: Progress and prospects,Universität Innsbruck,Journal article,Trapped ion,27/03/2003,2003,2,3.00E-02,,,,
NA,"High-Fidelity Preparation, Gates, Memory, and Readout of a Trapped-Ion Quantum Bit",https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.113.220501,,Clarendon Laboratory ; Laboratoire Matériaux et Phénomènes Quantiques,Journal article,Trapped ion,24/11/2014,2014,1,NA,,,,
